rank,domain,percent
1,@xro4dl.edu,0.933333
2,@zucdnm.de,0.923077
3,@jwh3o2.com,0.923077
4,@usgu3j.ca,0.923077
5,@4e2giu.br,0.923077
6,@ck4m88.net,0.923077
7,@ekqepw.ca,0.916667
8,@7x5q5c.de,0.916667
9,@kkutt6.es,0.916667
10,@ap4wwz.de,0.916667
11,@0uymit.org,0.916667
12,@ponuov.eu,0.916667
13,@jw5h0b.biz,0.909091
14,@01uvs5.ru,0.909091
15,@m4hpf9.de,0.909091
16,@h3rgc3.ca,0.909091
17,@7q0ujd.eu,0.909091
18,@40pov9.br,0.909091
19,@5vg76l.pl,0.909091
20,@ukq7x8.edu,0.909091
21,@md4vqn.de,0.909091
22,@gdyw93.ca,0.909091
23,@low0gf.de,0.909091
24,@myh9gj.de,0.909091
25,@blv9z2.pl,0.909091
26,@aocf0p.de,0.909091
27,@1q5bya.de,0.909091
28,@gojyw2.org,0.900000
29,@xgoxgx.ch,0.900000
30,@wb0ehi.net,0.900000
31,@lpqg9o.de,0.900000
32,@ypjxac.com,0.900000
33,@o5jrbw.ca,0.900000
34,@6q7csc.de,0.900000
35,@xdxs34.mil,0.900000
36,@1ixwcd.mil,0.900000
37,@ab5f49.de,0.900000
38,@0dyxv3.de,0.900000
39,@yxmr61.com,0.900000
40,@ougrje.com,0.900000
41,@wk86hk.de,0.900000
42,@uytxf7.de,0.900000
43,@jh9vtc.nl,0.900000
44,@xjj625.st,0.900000
45,@ixrn2w.eu,0.894737
46,@g5sj3n.br,0.888889
47,@qtfsjt.ru,0.888889
48,@yir6mj.it,0.888889
49,@d4439n.eu,0.888889
50,@tbr12q.pl,0.888889
